2015-03-21T12:01:22.045+0800 I CONTROL  [initandlisten] MongoDB starting : pid=43693 port=27017 dbpath=/Volumes/newSpace/iii_mongodb_demo/iii_db 64-bit host=justin-c-huang.local
2015-03-21T12:01:22.046+0800 I CONTROL  [initandlisten] db version v3.0.0
2015-03-21T12:01:22.046+0800 I CONTROL  [initandlisten] git version: a841fd6394365954886924a35076691b4d149168
2015-03-21T12:01:22.047+0800 I CONTROL  [initandlisten] build info: Darwin bs-osx108-1 12.5.0 Darwin Kernel Version 12.5.0: Sun Sep 29 13:33:47 PDT 2013; root:xnu-2050.48.12~1/RELEASE_X86_64 x86_64 BOOST_LIB_VERSION=1_49
2015-03-21T12:01:22.047+0800 I CONTROL  [initandlisten] allocator: system
2015-03-21T12:01:22.048+0800 I CONTROL  [initandlisten] options: { config: "./iii_config.cfg", net: { bindIp: "127.0.0.1", http: { enabled: true }, port: 27017 }, processManagement: { fork: true }, storage: { dbPath: "/Volumes/newSpace/iii_mongodb_demo/iii_db", journal: { enabled: true } }, systemLog: { destination: "file", logAppend: true, path: "/Volumes/newSpace/iii_mongodb_demo/iii_2015_mongodb.log", quiet: true } }
2015-03-21T12:01:22.120+0800 I JOURNAL  [initandlisten] journal dir=/Volumes/newSpace/iii_mongodb_demo/iii_db/journal
2015-03-21T12:01:22.121+0800 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
2015-03-21T12:01:22.178+0800 I JOURNAL  [durability] Durability thread started
2015-03-21T12:01:22.179+0800 I JOURNAL  [journal writer] Journal writer thread started
2015-03-21T12:01:24.782+0800 I NETWORK  [websvr] admin web console waiting for connections on port 28017
2015-03-21T12:01:24.809+0800 I NETWORK  [initandlisten] waiting for connections on port 27017
2015-03-21T12:03:20.693+0800 I NETWORK  [websvr] Socket recv() errno:35 Resource temporarily unavailable 127.0.0.1:56286
2015-03-21T12:03:28.694+0800 I NETWORK  [websvr] Socket recv() errno:35 Resource temporarily unavailable 127.0.0.1:56287
2015-03-21T12:06:18.340+0800 I COMMAND  [conn6] terminating, shutdown command received
2015-03-21T12:06:18.341+0800 I CONTROL  [conn6] now exiting
2015-03-21T12:06:18.341+0800 I NETWORK  [conn6] shutdown: going to close listening sockets...
2015-03-21T12:06:18.342+0800 I NETWORK  [conn6] closing listening socket: 6
2015-03-21T12:06:18.342+0800 I NETWORK  [conn6] closing listening socket: 7
2015-03-21T12:06:18.343+0800 I NETWORK  [conn6] closing listening socket: 34
2015-03-21T12:06:18.343+0800 I NETWORK  [conn6] removing socket file: /tmp/mongodb-27017.sock
2015-03-21T12:06:18.344+0800 I NETWORK  [conn6] shutdown: going to flush diaglog...
2015-03-21T12:06:18.344+0800 I NETWORK  [conn6] shutdown: going to close sockets...
2015-03-21T12:06:18.345+0800 I STORAGE  [conn6] shutdown: waiting for fs preallocator...
2015-03-21T12:06:18.345+0800 I STORAGE  [conn6] shutdown: final commit...
2015-03-21T12:06:18.377+0800 I JOURNAL  [conn6] journalCleanup...
2015-03-21T12:06:18.378+0800 I JOURNAL  [conn6] removeJournalFiles
2015-03-21T12:06:18.379+0800 I JOURNAL  [conn6] Terminating durability thread ...
2015-03-21T12:06:18.453+0800 I JOURNAL  [journal writer] Journal writer thread stopped
2015-03-21T12:06:18.454+0800 I JOURNAL  [durability] Durability thread stopped
2015-03-21T12:06:18.455+0800 I STORAGE  [conn6] shutdown: closing all files...
2015-03-21T12:06:18.462+0800 I STORAGE  [conn6] closeAllFiles() finished
2015-03-21T12:06:18.463+0800 I STORAGE  [conn6] shutdown: removing fs lock...
2015-03-21T12:06:18.463+0800 I CONTROL  [conn6] dbexit:  rc: 0
2015-03-21T12:06:38.130+0800 I CONTROL  ***** SERVER RESTARTED *****
2015-03-21T12:06:38.145+0800 I CONTROL  [initandlisten] MongoDB starting : pid=43844 port=27017 dbpath=/Volumes/newSpace/iii_mongodb_demo/iii_db 64-bit host=justin-c-huang.local
2015-03-21T12:06:38.145+0800 I CONTROL  [initandlisten] db version v3.0.0
2015-03-21T12:06:38.145+0800 I CONTROL  [initandlisten] git version: a841fd6394365954886924a35076691b4d149168
2015-03-21T12:06:38.145+0800 I CONTROL  [initandlisten] build info: Darwin bs-osx108-1 12.5.0 Darwin Kernel Version 12.5.0: Sun Sep 29 13:33:47 PDT 2013; root:xnu-2050.48.12~1/RELEASE_X86_64 x86_64 BOOST_LIB_VERSION=1_49
2015-03-21T12:06:38.146+0800 I CONTROL  [initandlisten] allocator: system
2015-03-21T12:06:38.146+0800 I CONTROL  [initandlisten] options: { config: "./iii_config.cfg", net: { bindIp: "127.0.0.1", http: { JSONPEnabled: true, RESTInterfaceEnabled: true, enabled: true }, port: 27017 }, processManagement: { fork: true }, storage: { dbPath: "/Volumes/newSpace/iii_mongodb_demo/iii_db", journal: { enabled: true } }, systemLog: { destination: "file", logAppend: true, path: "/Volumes/newSpace/iii_mongodb_demo/iii_2015_mongodb.log", quiet: true } }
2015-03-21T12:06:38.158+0800 I JOURNAL  [initandlisten] journal dir=/Volumes/newSpace/iii_mongodb_demo/iii_db/journal
2015-03-21T12:06:38.158+0800 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
2015-03-21T12:06:38.236+0800 I JOURNAL  [durability] Durability thread started
2015-03-21T12:06:38.236+0800 I JOURNAL  [journal writer] Journal writer thread started
2015-03-21T12:06:38.321+0800 I NETWORK  [websvr] admin web console waiting for connections on port 28017
2015-03-21T12:06:38.325+0800 I NETWORK  [initandlisten] waiting for connections on port 27017
2015-03-21T12:06:57.790+0800 I NETWORK  [websvr] Socket recv() errno:35 Resource temporarily unavailable 127.0.0.1:56305
2015-03-21T12:07:56.006+0800 I NETWORK  [websvr] Socket recv() errno:35 Resource temporarily unavailable 127.0.0.1:56313
2015-03-21T12:08:15.299+0800 I NETWORK  [websvr] Socket recv() errno:35 Resource temporarily unavailable 127.0.0.1:56317
2015-03-21T12:08:59.283+0800 I NETWORK  [websvr] Socket recv() errno:35 Resource temporarily unavailable 127.0.0.1:56320
2015-03-21T14:02:32.200+0800 I COMMAND  [conn20] command admin.$cmd command: listDatabases { listDatabases: 1.0 } keyUpdates:0 writeConflicts:0 numYields:0 reslen:434 locks:{} 133ms
2015-03-21T14:02:42.723+0800 I COMMAND  [conn20] command iii-2015.$cmd command: listCollections { listCollections: 1.0 } keyUpdates:0 writeConflicts:0 numYields:0 reslen:207 locks:{} 138ms
2015-03-21T14:04:02.101+0800 I WRITE    [conn20] insert iii-2015.users query: { _id: ObjectId('550d09d106e805d2c05b6139'), name: "joe", friends: 32.0, enemies: 2.0 } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, MMAPV1Journal: { acquireCount: { w: 4 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 617 } }, Database: { acquireCount: { w: 1, W: 1 } }, Collection: { acquireCount: { W: 2 } }, Metadata: { acquireCount: { W: 2 } } } 139ms
2015-03-21T14:04:02.102+0800 I COMMAND  [conn20] command iii-2015.$cmd command: insert { insert: "users", documents: [ { _id: ObjectId('550d09d106e805d2c05b6139'), name: "joe", friends: 32.0, enemies: 2.0 } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 172ms
2015-03-21T14:10:00.255+0800 I WRITE    [conn20] update iii-2015.users query: { username: "joe" } update: { _id: ObjectId('550d0a9f06e805d2c05b613a'), username: "joe", age: 66.0 } keyUpdates:0 writeConflicts:0 exception: The _id field cannot be changed from {_id: ObjectId('550d09d106e805d2c05b6139')} to {_id: ObjectId('550d0a9f06e805d2c05b613a')}. code:16837 numYields:0 locks:{} 105ms
2015-03-21T14:10:00.255+0800 I COMMAND  [conn20] command iii-2015.$cmd command: update { update: "users", updates: [ { q: { username: "joe" }, u: { _id: ObjectId('550d0a9f06e805d2c05b613a'), username: "joe", age: 66.0 }, multi: false, upsert: false } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:243 locks:{} 106ms
2015-03-21T19:35:39.972+0800 I WRITE    [conn20] insert iii-2015.coll2 query: { _id: ObjectId('550d578b06e805d2c05b6142'), x: "a" } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, MMAPV1Journal: { acquireCount: { w: 4 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 95855 } }, Database: { acquireCount: { w: 1, W: 1 } }, Collection: { acquireCount: { W: 2 } }, Metadata: { acquireCount: { W: 2 } } } 182ms
2015-03-21T19:35:40.070+0800 I COMMAND  [conn20] command iii-2015.$cmd command: insert { insert: "coll2", documents: [ { _id: ObjectId('550d578b06e805d2c05b6142'), x: "a" } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 280ms
2015-03-21T19:44:39.288+0800 I WRITE    [conn20] update iii-2015.web query: { url: "www.google.com" } update: { $inc: { pageviews: 1.0 } } nscanned:0 nscannedObjects:0 nMatched:1 nModified:1 upsert:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{} 146ms
2015-03-21T19:44:39.356+0800 I COMMAND  [conn20] command iii-2015.$cmd command: update { update: "web", updates: [ { q: { url: "www.google.com" }, u: { $inc: { pageviews: 1.0 } }, multi: false, upsert: true } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:106 locks:{} 214ms
2015-03-21T20:33:31.457+0800 I COMMAND  [conn24] command iii-2015.$cmd command: drop { drop: "users_for_test" } keyUpdates:0 writeConflicts:0 numYields:0 reslen:86 locks:{} 324ms
2015-03-21T23:02:41.679+0800 I QUERY    [conn20] assertion 16979 bad numberToReturn (0) for $cmd type ns - can only be 1 or -1 ns:iii-2015.$cmd query:{}
2015-03-21T23:06:13.380+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d88e58afb8269abf5c1a9'), i: 15461.0, username: "user15461", age: 43.0, created: new Date(1426950373125) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 150 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 231ms
2015-03-21T23:06:13.440+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d88e58afb8269abf5c1a9'), i: 15461.0, username: "user15461", age: 43.0, created: new Date(1426950373125) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 292ms
2015-03-21T23:06:42.966+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d89028afb8269abf6b598'), i: 77908.0, username: "user77908", age: 88.0, created: new Date(1426950402796) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 25070 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 170ms
2015-03-21T23:06:42.991+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d89028afb8269abf6b598'), i: 77908.0, username: "user77908", age: 88.0, created: new Date(1426950402796) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 195ms
2015-03-21T23:07:15.191+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d89238afb8269abf7b3b3'), i: 142959.0, username: "user142959", age: 47.0, created: new Date(1426950435079) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 111688 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 111ms
2015-03-21T23:07:15.651+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d89238afb8269abf7b3b3'), i: 142959.0, username: "user142959", age: 47.0, created: new Date(1426950435079) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 571ms
2015-03-21T23:07:18.404+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d89258afb8269abf7c1df'), i: 146587.0, username: "user146587", age: 72.0, created: new Date(1426950437901) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 500894 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 502ms
2015-03-21T23:07:18.405+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d89258afb8269abf7c1df'), i: 146587.0, username: "user146587", age: 72.0, created: new Date(1426950437901) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 503ms
2015-03-21T23:07:20.821+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d89288afb8269abf7ccb6'), i: 149362.0, username: "user149362", age: 29.0, created: new Date(1426950440634) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 47 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 186ms
2015-03-21T23:07:20.821+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d89288afb8269abf7ccb6'), i: 149362.0, username: "user149362", age: 29.0, created: new Date(1426950440634) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 187ms
2015-03-21T23:07:42.979+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d893e8afb8269abf88ab4'), i: 198000.0, username: "user198000", age: 108.0, created: new Date(1426950462776) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 74 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 202ms
2015-03-21T23:07:42.989+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d893e8afb8269abf88ab4'), i: 198000.0, username: "user198000", age: 108.0, created: new Date(1426950462776) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 213ms
